model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.1 8b,HS-PS3-5,48,0.7083,0.5682,0.8176,0.75,0.0,0.0589
Llama 3.1 8b,HS-PS4-1,57,0.8421,0.7264,0.9146,0.869,0.0,0.043
Llama 3.1 8b,HS-PS4-2,63,0.8095,0.6959,0.8875,0.8333,0.0,0.0673
Llama 3.1 8b,HS-PS4-3,60,0.9,0.7985,0.9534,0.9333,0.0,0.0707
Llama 3.1 8b,HS-PS4-4,45,0.8444,0.7122,0.9225,0.8939,0.0,0.1133
Llama 3.1 8b,HS-PS4-5,69,0.7826,0.6718,0.8636,0.75,0.0,0.0355
Llama 3.3 70b,HS-ESS1-1,48,0.7917,0.6574,0.8827,0.8167,0.0,0.078
Llama 3.3 70b,HS-ESS1-2,66,0.9848,0.919,0.9973,0.9889,0.0,0.0214
Llama 3.3 70b,HS-ESS1-3,48,0.7917,0.6574,0.8827,0.85,0.0,0.078
Llama 3.3 70b,HS-ESS1-4,48,0.8958,0.7783,0.9547,0.9242,0.0,0.0589
Llama 3.3 70b,HS-ESS1-5,30,0.9,0.7438,0.9654,0.9375,0.0,0.0
Llama 3.3 70b,HS-ESS1-6,45,0.8222,0.6867,0.9071,0.85,0.0,0.0314
Llama 3.3 70b,HS-ESS2-1,39,0.8205,0.6733,0.9102,0.8667,0.0,0.0363
Llama 3.3 70b,HS-ESS2-2,42,0.9762,0.8768,0.9958,0.9667,0.0,0.0337
Llama 3.3 70b,HS-ESS2-3,48,0.875,0.753,0.9414,0.9167,0.0,0.051
Llama 3.3 70b,HS-ESS2-4,39,0.9231,0.7968,0.9735,0.9667,0.0,0.0628
Llama 3.3 70b,HS-ESS2-5,45,0.8889,0.765,0.9516,0.9074,0.0,0.0314
Llama 3.3 70b,HS-ESS2-6,39,0.9231,0.7968,0.9735,0.9375,0.0,0.0628
Llama 3.3 70b,HS-ESS2-7,36,0.7778,0.6192,0.8828,0.8958,0.0,0.0393
Llama 3.3 70b,HS-ESS3-1,48,0.9583,0.8602,0.9885,0.9744,0.0,0.0589
Llama 3.3 70b,HS-ESS3-2,39,1.0,0.9103,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-ESS3-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-ESS3-4,75,1.0,0.9513,1.0,0.9872,0.0,0.0
Llama 3.3 70b,HS-ESS3-5,54,0.9074,0.8009,0.9598,0.8939,0.0,0.0262
Llama 3.3 70b,HS-ESS3-6,36,0.9444,0.8186,0.9846,0.95,0.0,0.0393
Llama 3.3 70b,HS-ETS1-1,87,0.9885,0.9377,0.998,0.9912,0.0,0.0163
Llama 3.3 70b,HS-ETS1-2,81,0.9753,0.9144,0.9932,0.963,0.0,0.0175
Llama 3.3 70b,HS-ETS1-3,66,0.9697,0.8961,0.9917,0.9792,0.0,0.0214
Llama 3.3 70b,HS-ETS1-4,57,0.9825,0.9071,0.9969,0.9872,0.0,0.0248
Llama 3.3 70b,HS-LS1-1,42,1.0,0.9162,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-LS1-2,36,0.9444,0.8186,0.9846,0.9667,0.0,0.0393
Llama 3.3 70b,HS-LS1-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-LS1-4,54,1.0,0.9336,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-LS1-5,48,0.8125,0.6806,0.8981,0.8667,0.0,0.0884
Llama 3.3 70b,HS-LS1-6,36,0.9444,0.8186,0.9846,0.9444,0.0,0.0393
Llama 3.3 70b,HS-LS1-7,36,0.6944,0.5314,0.82,0.7292,0.0,0.0393
Llama 3.3 70b,HS-LS2-1,45,0.9778,0.8843,0.9961,0.9722,0.0,0.0314
Llama 3.3 70b,HS-LS2-2,27,0.7407,0.5532,0.8683,0.8611,0.0,0.0524
Llama 3.3 70b,HS-LS2-3,24,0.7917,0.5953,0.9076,0.8611,0.0,0.1559
Llama 3.3 70b,HS-LS2-4,33,0.9091,0.7643,0.9686,0.9375,0.0,0.0742
Llama 3.3 70b,HS-LS2-5,33,0.9394,0.8039,0.9832,1.0,0.0,0.0429
Llama 3.3 70b,HS-LS2-6,39,0.8974,0.7642,0.9594,0.8542,0.0,0.0363
Llama 3.3 70b,HS-LS2-7,30,1.0,0.8865,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-LS2-8,33,1.0,0.8957,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-LS3-1,93,0.9247,0.8527,0.9631,0.9242,0.0,0.0304
Llama 3.3 70b,HS-LS3-2,96,0.9479,0.8838,0.9776,0.9621,0.0,0.0147
Llama 3.3 70b,HS-LS3-3,93,0.9247,0.8527,0.9631,0.9444,0.0,0.0304
Llama 3.3 70b,HS-LS4-1,72,0.9444,0.8657,0.9782,0.9688,0.0,0.052
Llama 3.3 70b,HS-LS4-2,54,0.9074,0.8009,0.9598,0.9861,0.0,0.0524
Llama 3.3 70b,HS-LS4-3,51,0.9412,0.8408,0.9798,0.9872,0.0,0.048
Llama 3.3 70b,HS-LS4-4,57,0.9298,0.833,0.9724,0.9167,0.0,0.0248
Llama 3.3 70b,HS-LS4-5,48,0.9167,0.8045,0.9671,0.9848,0.0,0.0589
Llama 3.3 70b,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
Llama 3.3 70b,HS-PS1-1,45,1.0,0.9213,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-PS1-2,36,0.9722,0.8583,0.9951,1.0,0.0,0.0393
Llama 3.3 70b,HS-PS1-3,39,0.8974,0.7642,0.9594,0.9259,0.0,0.0959
Llama 3.3 70b,HS-PS1-4,36,0.8611,0.7134,0.9392,0.9167,0.0,0.1039
Llama 3.3 70b,HS-PS1-5,36,0.9722,0.8583,0.9951,0.9792,0.0,0.0393
Llama 3.3 70b,HS-PS1-6,36,0.9444,0.8186,0.9846,0.9792,0.0,0.0786
Llama 3.3 70b,HS-PS1-7,36,1.0,0.9036,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-PS1-8,33,0.9697,0.8468,0.9946,0.9762,0.0,0.0429
Llama 3.3 70b,HS-PS2-1,48,1.0,0.9259,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-PS2-2,63,1.0,0.9425,1.0,1.0,0.0,0.0
Llama 3.3 70b,HS-PS2-3,72,0.9583,0.8845,0.9857,0.9881,0.0,0.034
Llama 3.3 70b,HS-PS2-4,72,0.9167,0.8299,0.9612,0.9103,0.0,0.0
Llama 3.3 70b,HS-PS2-5,42,0.9762,0.8768,0.9958,0.9861,0.0,0.0337
Llama 3.3 70b,HS-PS3-1,63,0.9524,0.8691,0.9837,0.9643,0.0,0.0389
Llama 3.3 70b,HS-PS3-2,57,0.9474,0.8563,0.9819,0.9444,0.0,0.043
Llama 3.3 70b,HS-PS3-3,57,0.9474,0.8563,0.9819,0.9524,0.0,0.0
Llama 3.3 70b,HS-PS3-4,54,0.8889,0.7781,0.9481,0.9167,0.0,0.0454
Llama 3.3 70b,HS-PS3-5,48,0.8958,0.7783,0.9547,0.9333,0.0,0.0295
Llama 3.3 70b,HS-PS4-1,57,1.0,0.9369,1.0,0.9881,0.0,0.0
Llama 3.3 70b,HS-PS4-2,63,0.9841,0.9154,0.9972,0.9881,0.0,0.0224
Llama 3.3 70b,HS-PS4-3,60,0.9833,0.9114,0.9971,0.9889,0.0,0.0236
Llama 3.3 70b,HS-PS4-4,45,0.9778,0.8843,0.9961,0.9697,0.0,0.0314
Llama 3.3 70b,HS-PS4-5,69,0.913,0.823,0.9595,0.9306,0.0,0.0355
Mistral Small 3.1,HS-ESS1-1,48,0.8542,0.7283,0.9275,0.9167,0.0,0.078
Mistral Small 3.1,HS-ESS1-2,66,0.9091,0.8155,0.9577,0.9111,0.0,0.0371
Mistral Small 3.1,HS-ESS1-3,48,0.7917,0.6574,0.8827,0.8,0.0,0.1179
Mistral Small 3.1,HS-ESS1-4,48,0.8333,0.7042,0.913,0.8333,0.0,0.0589
Mistral Small 3.1,HS-ESS1-5,30,0.9333,0.7868,0.9815,0.9375,0.0,0.0943
Mistral Small 3.1,HS-ESS1-6,45,0.9111,0.7927,0.9649,0.9333,0.0,0.0314
Mistral Small 3.1,HS-ESS2-1,39,0.8205,0.6733,0.9102,0.8833,0.0,0.0725
Mistral Small 3.1,HS-ESS2-2,42,0.9048,0.7793,0.9623,0.95,0.0,0.0337
Mistral Small 3.1,HS-ESS2-3,48,0.9167,0.8045,0.9671,0.9167,0.0,0.0295
Mistral Small 3.1,HS-ESS2-4,39,0.9231,0.7968,0.9735,0.9333,0.0,0.0628
Mistral Small 3.1,HS-ESS2-5,45,0.8889,0.765,0.9516,0.9074,0.0,0.0629
Mistral Small 3.1,HS-ESS2-6,39,0.9231,0.7968,0.9735,0.9792,0.0,0.0628
Mistral Small 3.1,HS-ESS2-7,36,0.75,0.5893,0.8625,0.7917,0.0,0.1179
Mistral Small 3.1,HS-ESS3-1,48,0.9583,0.8602,0.9885,0.9744,0.0,0.0295
Mistral Small 3.1,HS-ESS3-2,39,0.9744,0.8682,0.9955,0.963,0.0,0.0363
Mistral Small 3.1,HS-ESS3-3,42,1.0,0.9162,1.0,0.9833,0.0,0.0
Mistral Small 3.1,HS-ESS3-4,75,0.9733,0.9079,0.9927,0.9744,0.0,0.0189
Mistral Small 3.1,HS-ESS3-5,54,0.9074,0.8009,0.9598,0.9091,0.0,0.0524
Mistral Small 3.1,HS-ESS3-6,36,0.9167,0.7817,0.9713,0.9667,0.0,0.0
Mistral Small 3.1,HS-ETS1-1,87,0.977,0.92,0.9937,0.9737,0.0,0.0163
Mistral Small 3.1,HS-ETS1-2,81,0.9753,0.9144,0.9932,0.9722,0.0,0.0175
Mistral Small 3.1,HS-ETS1-3,66,0.9394,0.8543,0.9762,0.9583,0.0,0.0429
Mistral Small 3.1,HS-ETS1-4,57,0.8947,0.7888,0.9509,0.9359,0.0,0.043
Mistral Small 3.1,HS-LS1-1,42,0.9048,0.7793,0.9623,0.9259,0.0,0.0673
Mistral Small 3.1,HS-LS1-2,36,1.0,0.9036,1.0,1.0,0.0,0.0
Mistral Small 3.1,HS-LS1-3,42,0.9048,0.7793,0.9623,0.9667,0.0,0.0337
Mistral Small 3.1,HS-LS1-4,54,0.9074,0.8009,0.9598,0.9,0.0,0.0944
Mistral Small 3.1,HS-LS1-5,48,0.9167,0.8045,0.9671,0.9333,0.0,0.0295
Mistral Small 3.1,HS-LS1-6,36,0.9167,0.7817,0.9713,0.9444,0.0,0.0
Mistral Small 3.1,HS-LS1-7,36,0.75,0.5893,0.8625,0.8333,0.0,0.1361
Mistral Small 3.1,HS-LS2-1,45,0.9333,0.8214,0.9771,1.0,0.0,0.0544
Mistral Small 3.1,HS-LS2-2,27,0.7778,0.5924,0.8939,0.9444,0.0,0.0907
Mistral Small 3.1,HS-LS2-3,24,0.9167,0.7415,0.9768,0.9722,0.0,0.0589
Mistral Small 3.1,HS-LS2-4,33,0.9394,0.8039,0.9832,0.9792,0.0,0.0857
Mistral Small 3.1,HS-LS2-5,33,0.8788,0.7267,0.9518,0.9375,0.0,0.0857
Mistral Small 3.1,HS-LS2-6,39,0.9231,0.7968,0.9735,0.8542,0.0,0.0628
Mistral Small 3.1,HS-LS2-7,30,1.0,0.8865,1.0,0.9792,0.0,0.0
Mistral Small 3.1,HS-LS2-8,33,0.8485,0.6908,0.9335,0.9048,0.0,0.0429
Mistral Small 3.1,HS-LS3-1,93,0.9355,0.8663,0.9701,0.947,0.0,0.0263
Mistral Small 3.1,HS-LS3-2,96,0.9375,0.8703,0.971,0.947,0.0,0.0442
Mistral Small 3.1,HS-LS3-3,93,0.9247,0.8527,0.9631,0.9352,0.0,0.0402
Mistral Small 3.1,HS-LS4-1,72,0.9167,0.8299,0.9612,0.9479,0.0,0.0589
Mistral Small 3.1,HS-LS4-2,54,0.8889,0.7781,0.9481,0.9861,0.0,0.0
Mistral Small 3.1,HS-LS4-3,51,0.9216,0.815,0.9691,0.9359,0.0,0.0555
Mistral Small 3.1,HS-LS4-4,57,0.8947,0.7888,0.9509,0.9306,0.0,0.0
Mistral Small 3.1,HS-LS4-5,48,0.9375,0.8316,0.9785,0.9848,0.0,0.0
Mistral Small 3.1,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
Mistral Small 3.1,HS-PS1-1,45,0.9111,0.7927,0.9649,0.95,0.0,0.0314
Mistral Small 3.1,HS-PS1-2,36,0.9444,0.8186,0.9846,0.9792,0.0,0.0393
Mistral Small 3.1,HS-PS1-3,39,0.9487,0.8311,0.9858,0.9815,0.0,0.0363
Mistral Small 3.1,HS-PS1-4,36,0.8333,0.6811,0.9213,0.9583,0.0,0.068
Mistral Small 3.1,HS-PS1-5,36,0.9167,0.7817,0.9713,0.9792,0.0,0.068
Mistral Small 3.1,HS-PS1-6,36,0.9167,0.7817,0.9713,0.9375,0.0,0.068
Mistral Small 3.1,HS-PS1-7,36,0.9444,0.8186,0.9846,0.9375,0.0,0.0786
Mistral Small 3.1,HS-PS1-8,33,0.8788,0.7267,0.9518,0.881,0.0,0.0429
Mistral Small 3.1,HS-PS2-1,48,0.9167,0.8045,0.9671,0.9615,0.0,0.0295
Mistral Small 3.1,HS-PS2-2,63,0.9206,0.8273,0.9656,0.9778,0.0,0.0449
Mistral Small 3.1,HS-PS2-3,72,0.9861,0.9254,0.9975,0.9881,0.0,0.0196
Mistral Small 3.1,HS-PS2-4,72,0.9583,0.8845,0.9857,1.0,0.0,0.034
Mistral Small 3.1,HS-PS2-5,42,0.9286,0.8099,0.9754,0.9583,0.0,0.0
Mistral Small 3.1,HS-PS3-1,63,0.9683,0.8914,0.9913,0.9762,0.0,0.0224
Mistral Small 3.1,HS-PS3-2,57,0.8596,0.7468,0.9271,0.8889,0.0,0.0248
Mistral Small 3.1,HS-PS3-3,57,0.9474,0.8563,0.9819,0.9405,0.0,0.043
Mistral Small 3.1,HS-PS3-4,54,0.7778,0.6506,0.868,0.8611,0.0,0.12
Mistral Small 3.1,HS-PS3-5,48,0.8542,0.7283,0.9275,0.8833,0.0,0.0295
Mistral Small 3.1,HS-PS4-1,57,0.9298,0.833,0.9724,0.9286,0.0,0.0656
Mistral Small 3.1,HS-PS4-2,63,0.9365,0.8478,0.975,0.9524,0.0,0.0224
Mistral Small 3.1,HS-PS4-3,60,0.9667,0.8864,0.9908,0.9778,0.0,0.0236
Mistral Small 3.1,HS-PS4-4,45,0.9333,0.8214,0.9771,0.9697,0.0,0.0
Mistral Small 3.1,HS-PS4-5,69,0.8986,0.8051,0.95,0.9028,0.0,0.0542
Nemotron 3 Nano 30ba3,HS-ESS1-1,48,0.875,0.753,0.9414,0.9,0.0,0.051
Nemotron 3 Nano 30ba3,HS-ESS1-2,66,0.9848,0.919,0.9973,1.0,0.0,0.0214
Nemotron 3 Nano 30ba3,HS-ESS1-3,48,0.9375,0.8316,0.9785,0.95,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS1-4,48,0.9167,0.8045,0.9671,0.9697,0.0,0.0295
Nemotron 3 Nano 30ba3,HS-ESS1-5,30,1.0,0.8865,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS1-6,45,0.9333,0.8214,0.9771,0.95,0.0,0.0544
Nemotron 3 Nano 30ba3,HS-ESS2-1,39,0.9744,0.8682,0.9955,0.9833,0.0,0.0363
Nemotron 3 Nano 30ba3,HS-ESS2-2,42,0.9524,0.8421,0.9868,0.9667,0.0,0.0337
Nemotron 3 Nano 30ba3,HS-ESS2-3,48,0.875,0.753,0.9414,0.95,0.0,0.051
Nemotron 3 Nano 30ba3,HS-ESS2-4,39,1.0,0.9103,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS2-5,45,0.9556,0.8517,0.9877,0.9815,0.0,0.0314
Nemotron 3 Nano 30ba3,HS-ESS2-6,39,1.0,0.9103,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS2-7,36,0.9722,0.8583,0.9951,0.9792,0.0,0.0393
Nemotron 3 Nano 30ba3,HS-ESS3-1,48,1.0,0.9259,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS3-2,39,1.0,0.9103,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS3-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS3-4,75,0.9867,0.9283,0.9976,1.0,0.0,0.0189
Nemotron 3 Nano 30ba3,HS-ESS3-5,54,0.9444,0.8489,0.9809,0.9242,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS3-6,36,0.9722,0.8583,0.9951,0.9833,0.0,0.0393
Nemotron 3 Nano 30ba3,HS-ETS1-1,87,1.0,0.9577,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ETS1-2,81,0.9506,0.8798,0.9806,0.963,0.0,0.0175
Nemotron 3 Nano 30ba3,HS-ETS1-3,66,0.9848,0.919,0.9973,0.9896,0.0,0.0214
Nemotron 3 Nano 30ba3,HS-ETS1-4,57,1.0,0.9369,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS1-1,42,1.0,0.9162,1.0,0.9815,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS1-2,36,1.0,0.9036,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS1-3,42,0.9524,0.8421,0.9868,0.95,0.0,0.0337
Nemotron 3 Nano 30ba3,HS-LS1-4,54,0.9444,0.8489,0.9809,0.9833,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS1-5,48,0.9167,0.8045,0.9671,0.9667,0.0,0.0295
Nemotron 3 Nano 30ba3,HS-LS1-6,36,0.9722,0.8583,0.9951,0.9815,0.0,0.0393
Nemotron 3 Nano 30ba3,HS-LS1-7,36,0.9167,0.7817,0.9713,0.9583,0.0,0.068
Nemotron 3 Nano 30ba3,HS-LS2-1,45,1.0,0.9213,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS2-2,27,0.9259,0.7663,0.9794,1.0,0.0,0.0524
Nemotron 3 Nano 30ba3,HS-LS2-3,24,1.0,0.862,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS2-4,33,1.0,0.8957,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS2-5,33,0.9697,0.8468,0.9946,1.0,0.0,0.0429
Nemotron 3 Nano 30ba3,HS-LS2-6,39,0.9231,0.7968,0.9735,0.875,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS2-7,30,1.0,0.8865,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS2-8,33,0.9697,0.8468,0.9946,0.9762,0.0,0.0429
Nemotron 3 Nano 30ba3,HS-LS3-1,93,0.9677,0.9094,0.989,0.9697,0.0,0.0263
Nemotron 3 Nano 30ba3,HS-LS3-2,96,0.9583,0.8977,0.9837,0.9773,0.0,0.0295
Nemotron 3 Nano 30ba3,HS-LS3-3,93,0.9677,0.9094,0.989,0.9907,0.0,0.0263
Nemotron 3 Nano 30ba3,HS-LS4-1,72,0.9861,0.9254,0.9975,0.9896,0.0,0.0196
Nemotron 3 Nano 30ba3,HS-LS4-2,54,0.9259,0.8245,0.9708,1.0,0.0,0.0262
Nemotron 3 Nano 30ba3,HS-LS4-3,51,1.0,0.93,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS4-4,57,0.8947,0.7888,0.9509,0.9861,0.0,0.043
Nemotron 3 Nano 30ba3,HS-LS4-5,48,1.0,0.9259,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS1-1,45,0.9778,0.8843,0.9961,0.9833,0.0,0.0314
Nemotron 3 Nano 30ba3,HS-PS1-2,36,0.9444,0.8186,0.9846,0.9583,0.0,0.0786
Nemotron 3 Nano 30ba3,HS-PS1-3,39,0.9231,0.7968,0.9735,0.963,0.0,0.0628
Nemotron 3 Nano 30ba3,HS-PS1-4,36,0.9722,0.8583,0.9951,0.9375,0.0,0.0393
Nemotron 3 Nano 30ba3,HS-PS1-5,36,1.0,0.9036,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS1-6,36,0.8889,0.7469,0.9559,0.9792,0.0,0.0393
Nemotron 3 Nano 30ba3,HS-PS1-7,36,1.0,0.9036,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS1-8,33,0.9394,0.8039,0.9832,0.9524,0.0,0.0857
Nemotron 3 Nano 30ba3,HS-PS2-1,48,1.0,0.9259,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS2-2,63,1.0,0.9425,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS2-3,72,0.9722,0.9043,0.9923,0.9881,0.0,0.0196
Nemotron 3 Nano 30ba3,HS-PS2-4,72,0.9722,0.9043,0.9923,0.9744,0.0,0.0196
Nemotron 3 Nano 30ba3,HS-PS2-5,42,0.9762,0.8768,0.9958,0.9861,0.0,0.0337
Nemotron 3 Nano 30ba3,HS-PS3-1,63,0.9524,0.8691,0.9837,0.9762,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS3-2,57,1.0,0.9369,1.0,0.9861,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS3-3,57,0.9474,0.8563,0.9819,0.9643,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS3-4,54,0.9815,0.9023,0.9967,0.9861,0.0,0.0262
Nemotron 3 Nano 30ba3,HS-PS3-5,48,1.0,0.9259,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS4-1,57,1.0,0.9369,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS4-2,63,0.9841,0.9154,0.9972,0.9881,0.0,0.0224
Nemotron 3 Nano 30ba3,HS-PS4-3,60,0.9333,0.8407,0.9738,0.9556,0.0,0.0236
Nemotron 3 Nano 30ba3,HS-PS4-4,45,1.0,0.9213,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-PS4-5,69,0.971,0.9003,0.992,1.0,0.0,0.0205
OSS 120b,HS-ESS1-1,48,1.0,0.9259,1.0,1.0,0.0,0.0
OSS 120b,HS-ESS1-2,66,0.9848,0.919,0.9973,1.0,0.0,0.0214
OSS 120b,HS-ESS1-3,48,0.9792,0.891,0.9963,0.9833,0.0,0.0295
OSS 120b,HS-ESS1-4,48,1.0,0.9259,1.0,1.0,0.0,0.0
OSS 120b,HS-ESS1-5,30,0.9667,0.8333,0.9941,1.0,0.0,0.0471
OSS 120b,HS-ESS1-6,45,0.9556,0.8517,0.9877,0.95,0.0,0.0314
OSS 120b,HS-ESS2-1,39,1.0,0.9103,1.0,1.0,0.0,0.0
OSS 120b,HS-ESS2-2,42,0.9524,0.8421,0.9868,0.95,0.0,0.0673
OSS 120b,HS-ESS2-3,48,0.9167,0.8045,0.9671,1.0,0.0,0.0295
OSS 120b,HS-ESS2-4,39,0.9744,0.8682,0.9955,0.9667,0.0,0.0363
OSS 120b,HS-ESS2-5,45,0.9778,0.8843,0.9961,0.9815,0.0,0.0314
OSS 120b,HS-ESS2-6,39,0.9744,0.8682,0.9955,1.0,0.0,0.0363
OSS 120b,HS-ESS2-7,36,0.9444,0.8186,0.9846,0.9167,0.0,0.0393
OSS 120b,HS-ESS3-1,48,0.9792,0.891,0.9963,0.9872,0.0,0.0295
OSS 120b,HS-ESS3-2,39,1.0,0.9103,1.0,1.0,0.0,0.0
OSS 120b,HS-ESS3-3,42,0.9524,0.8421,0.9868,0.95,0.0,0.0337
OSS 120b,HS-ESS3-4,75,1.0,0.9513,1.0,1.0,0.0,0.0
OSS 120b,HS-ESS3-5,54,0.9074,0.8009,0.9598,0.8788,0.0,0.0262
OSS 120b,HS-ESS3-6,36,1.0,0.9036,1.0,1.0,0.0,0.0
OSS 120b,HS-ETS1-1,87,1.0,0.9577,1.0,1.0,0.0,0.0
OSS 120b,HS-ETS1-2,81,0.9877,0.9333,0.9978,0.9815,0.0,0.0175
OSS 120b,HS-ETS1-3,66,0.9545,0.8747,0.9844,0.9375,0.0,0.0
OSS 120b,HS-ETS1-4,57,0.9825,0.9071,0.9969,1.0,0.0,0.0248
OSS 120b,HS-LS1-1,42,1.0,0.9162,1.0,1.0,0.0,0.0
OSS 120b,HS-LS1-2,36,1.0,0.9036,1.0,1.0,0.0,0.0
OSS 120b,HS-LS1-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
OSS 120b,HS-LS1-4,54,1.0,0.9336,1.0,1.0,0.0,0.0
OSS 120b,HS-LS1-5,48,0.9583,0.8602,0.9885,0.9833,0.0,0.0589
OSS 120b,HS-LS1-6,36,1.0,0.9036,1.0,1.0,0.0,0.0
OSS 120b,HS-LS1-7,36,0.9722,0.8583,0.9951,0.9583,0.0,0.0393
OSS 120b,HS-LS2-1,45,1.0,0.9213,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-2,27,1.0,0.8754,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-3,24,1.0,0.862,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-4,33,1.0,0.8957,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-5,33,1.0,0.8957,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-6,39,1.0,0.9103,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-7,30,1.0,0.8865,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2-8,33,1.0,0.8957,1.0,0.9762,0.0,0.0
OSS 120b,HS-LS3-1,93,0.9892,0.9416,0.9981,0.9924,0.0,0.0152
OSS 120b,HS-LS3-2,96,1.0,0.9615,1.0,1.0,0.0,0.0
OSS 120b,HS-LS3-3,93,1.0,0.9603,1.0,1.0,0.0,0.0
OSS 120b,HS-LS4-1,72,1.0,0.9493,1.0,1.0,0.0,0.0
OSS 120b,HS-LS4-2,54,0.963,0.8746,0.9898,0.9861,0.0,0.0524
OSS 120b,HS-LS4-3,51,0.9804,0.897,0.9965,0.9872,0.0,0.0277
OSS 120b,HS-LS4-4,57,1.0,0.9369,1.0,1.0,0.0,0.0
OSS 120b,HS-LS4-5,48,1.0,0.9259,1.0,1.0,0.0,0.0
OSS 120b,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
OSS 120b,HS-PS1-1,45,0.9778,0.8843,0.9961,0.9667,0.0,0.0314
OSS 120b,HS-PS1-2,36,0.9722,0.8583,0.9951,0.9792,0.0,0.0393
OSS 120b,HS-PS1-3,39,0.9744,0.8682,0.9955,0.9815,0.0,0.0363
OSS 120b,HS-PS1-4,36,1.0,0.9036,1.0,1.0,0.0,0.0
OSS 120b,HS-PS1-5,36,1.0,0.9036,1.0,1.0,0.0,0.0
OSS 120b,HS-PS1-6,36,1.0,0.9036,1.0,1.0,0.0,0.0
OSS 120b,HS-PS1-7,36,0.9722,0.8583,0.9951,0.9792,0.0,0.0393
OSS 120b,HS-PS1-8,33,1.0,0.8957,1.0,1.0,0.0,0.0
OSS 120b,HS-PS2-1,48,1.0,0.9259,1.0,1.0,0.0,0.0
OSS 120b,HS-PS2-2,63,1.0,0.9425,1.0,1.0,0.0,0.0
OSS 120b,HS-PS2-3,72,1.0,0.9493,1.0,1.0,0.0,0.0
OSS 120b,HS-PS2-4,72,0.9861,0.9254,0.9975,1.0,0.0,0.0196
OSS 120b,HS-PS2-5,42,0.9762,0.8768,0.9958,0.9861,0.0,0.0337
