model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,HS-PS2-2,63,1.0,0.9425,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-PS2-3,72,0.9306,0.8475,0.97,0.9286,0.0,0.0196
Gemma 3 27b,HS-PS2-4,72,0.9722,0.9043,0.9923,0.9744,0.0,0.0196
Gemma 3 27b,HS-PS2-5,42,0.9524,0.8421,0.9868,0.9722,0.0,0.0337
Gemma 3 27b,HS-PS3-1,63,0.9206,0.8273,0.9656,0.9524,0.0,0.0224
Gemma 3 27b,HS-PS3-2,57,0.9298,0.833,0.9724,0.9306,0.0,0.0248
Gemma 3 27b,HS-PS3-3,57,0.9474,0.8563,0.9819,0.9762,0.0,0.043
Gemma 3 27b,HS-PS3-4,54,0.8704,0.7558,0.9358,0.9028,0.0,0.0262
Gemma 3 27b,HS-PS3-5,48,0.9792,0.891,0.9963,0.9833,0.0,0.0295
Gemma 3 27b,HS-PS4-1,57,0.9474,0.8563,0.9819,0.9524,0.0,0.043
Gemma 3 27b,HS-PS4-2,63,0.9206,0.8273,0.9656,0.9286,0.0,0.0224
Gemma 3 27b,HS-PS4-3,60,0.9833,0.9114,0.9971,0.9889,0.0,0.0236
Gemma 3 27b,HS-PS4-4,45,0.9778,0.8843,0.9961,0.9848,0.0,0.0314
Gemma 3 27b,HS-PS4-5,69,0.971,0.9003,0.992,0.9861,0.0,0.0205
Gemma 4 31b,HS-ESS1-1,48,0.9375,0.8316,0.9785,1.0,0.0,0.0
Gemma 4 31b,HS-ESS1-2,66,1.0,0.945,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS1-3,48,0.9167,0.8045,0.9671,0.9667,0.0,0.0295
Gemma 4 31b,HS-ESS1-4,48,1.0,0.9259,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS1-5,30,1.0,0.8865,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS1-6,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS2-1,39,0.9744,0.8682,0.9955,0.9833,0.0,0.0363
Gemma 4 31b,HS-ESS2-2,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS2-3,48,0.875,0.753,0.9414,0.9667,0.0,0.0
Gemma 4 31b,HS-ESS2-4,39,1.0,0.9103,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS2-5,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS2-6,39,0.9231,0.7968,0.9735,1.0,0.0,0.0
Gemma 4 31b,HS-ESS2-7,36,0.9444,0.8186,0.9846,0.9375,0.0,0.0393
Gemma 4 31b,HS-ESS3-1,48,0.9792,0.891,0.9963,0.9744,0.0,0.0295
Gemma 4 31b,HS-ESS3-2,39,0.9744,0.8682,0.9955,0.9815,0.0,0.0363
Gemma 4 31b,HS-ESS3-3,42,1.0,0.9162,1.0,0.9833,0.0,0.0
Gemma 4 31b,HS-ESS3-4,75,1.0,0.9513,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS3-5,54,0.9815,0.9023,0.9967,0.9697,0.0,0.0262
Gemma 4 31b,HS-ESS3-6,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ETS1-1,87,1.0,0.9577,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ETS1-2,81,1.0,0.9547,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ETS1-3,66,1.0,0.945,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ETS1-4,57,1.0,0.9369,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS1-1,42,0.9524,0.8421,0.9868,0.9815,0.0,0.0673
Gemma 4 31b,HS-LS1-2,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS1-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS1-4,54,0.9815,0.9023,0.9967,1.0,0.0,0.0262
Gemma 4 31b,HS-LS1-5,48,0.9375,0.8316,0.9785,0.95,0.0,0.0884
Gemma 4 31b,HS-LS1-6,36,0.9722,0.8583,0.9951,0.9815,0.0,0.0393
Gemma 4 31b,HS-LS1-7,36,0.8889,0.7469,0.9559,0.8958,0.0,0.0393
Gemma 4 31b,HS-LS2-1,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS2-2,27,0.963,0.8172,0.9934,0.9444,0.0,0.0524
Gemma 4 31b,HS-LS2-3,24,1.0,0.862,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS2-4,33,0.9697,0.8468,0.9946,0.9583,0.0,0.0429
Gemma 4 31b,HS-LS2-5,33,1.0,0.8957,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS2-6,39,1.0,0.9103,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS2-7,30,1.0,0.8865,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS2-8,33,1.0,0.8957,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS3-1,93,1.0,0.9603,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS3-2,96,0.9896,0.9433,0.9982,0.9924,0.0,0.0147
Gemma 4 31b,HS-LS3-3,93,1.0,0.9603,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4-1,72,1.0,0.9493,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4-2,54,1.0,0.9336,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4-3,51,0.9804,0.897,0.9965,0.9872,0.0,0.0277
Gemma 4 31b,HS-LS4-4,57,1.0,0.9369,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4-5,48,1.0,0.9259,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
Gemma 4 31b,HS-PS1-1,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS1-2,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS1-3,39,1.0,0.9103,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS1-4,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS1-5,36,0.9444,0.8186,0.9846,1.0,0.0,0.0393
Gemma 4 31b,HS-PS1-6,36,1.0,0.9036,1.0,0.9792,0.0,0.0
Gemma 4 31b,HS-PS1-7,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS1-8,33,0.9091,0.7643,0.9686,1.0,0.0,0.0
Gemma 4 31b,HS-PS2-1,48,1.0,0.9259,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS2-2,63,1.0,0.9425,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS2-3,72,0.9722,0.9043,0.9923,0.9881,0.0,0.0393
Gemma 4 31b,HS-PS2-4,72,1.0,0.9493,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS2-5,42,0.9762,0.8768,0.9958,0.9861,0.0,0.0337
Gemma 4 31b,HS-PS3-1,63,0.9841,0.9154,0.9972,0.9881,0.0,0.0224
Gemma 4 31b,HS-PS3-2,57,0.9825,0.9071,0.9969,0.9722,0.0,0.0248
Gemma 4 31b,HS-PS3-3,57,1.0,0.9369,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS3-4,54,0.9074,0.8009,0.9598,0.9306,0.0,0.0262
Gemma 4 31b,HS-PS3-5,48,0.9792,0.891,0.9963,0.9833,0.0,0.0295
Gemma 4 31b,HS-PS4-1,57,1.0,0.9369,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS4-2,63,1.0,0.9425,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS4-3,60,1.0,0.9398,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS4-4,45,0.9778,0.8843,0.9961,0.9848,0.0,0.0314
