model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
OSS 120b,HS-LS1,applied,99,0.9899,0.945,0.9982,0.9899,0.0,0.0143
OSS 120b,HS-LS1,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
OSS 120b,HS-LS1,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
OSS 120b,HS-LS2,applied,84,1.0,0.9563,1.0,1.0,0.0,0.0
OSS 120b,HS-LS2,conceptual,87,1.0,0.9577,1.0,0.9943,0.0,0.0
OSS 120b,HS-LS2,recall,93,1.0,0.9603,1.0,,0.0,0.0
OSS 120b,HS-LS3,applied,93,1.0,0.9603,1.0,1.0,0.0,0.0
OSS 120b,HS-LS3,conceptual,93,0.9892,0.9416,0.9981,0.9946,0.0,0.0152
OSS 120b,HS-LS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
OSS 120b,HS-LS4,applied,96,0.9792,0.9272,0.9943,0.9896,0.0,0.0147
OSS 120b,HS-LS4,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
OSS 120b,HS-LS4,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
OSS 120b,HS-PS1,applied,99,0.9697,0.9147,0.9896,0.9798,0.0,0.0
OSS 120b,HS-PS1,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
OSS 120b,HS-PS1,recall,99,1.0,0.9626,1.0,,0.0,0.0
OSS 120b,HS-PS2,applied,102,0.9902,0.9465,0.9983,0.9951,0.0,0.0139
OSS 120b,HS-PS2,conceptual,99,1.0,0.9626,1.0,1.0,0.0,0.0
OSS 120b,HS-PS2,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
OSS 120b,HS-PS3,applied,96,0.9688,0.9121,0.9893,0.9844,0.0,0.0442
OSS 120b,HS-PS3,conceptual,90,1.0,0.9591,1.0,1.0,0.0,0.0
OSS 120b,HS-PS3,recall,93,1.0,0.9603,1.0,,0.0,0.0
OSS 120b,HS-PS4,applied,102,0.9902,0.9465,0.9983,0.9853,0.0,0.0139
OSS 120b,HS-PS4,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
OSS 120b,HS-PS4,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
OSS 20b,HS-ESS1,applied,96,0.9688,0.9121,0.9893,0.9635,0.0,0.0255
OSS 20b,HS-ESS1,conceptual,96,0.9688,0.9121,0.9893,0.9688,0.0,0.0442
OSS 20b,HS-ESS1,recall,93,0.9677,0.9094,0.989,,0.0,0.0263
OSS 20b,HS-ESS2,applied,96,0.8854,0.8064,0.9348,0.9219,0.0,0.0147
OSS 20b,HS-ESS2,conceptual,99,0.9192,0.8486,0.9585,0.9343,0.0,0.0143
OSS 20b,HS-ESS2,recall,93,0.8925,0.8133,0.9405,,0.0,0.0608
OSS 20b,HS-ESS3,applied,102,0.9412,0.8776,0.9728,0.9559,0.0,0.024
OSS 20b,HS-ESS3,conceptual,96,0.9583,0.8977,0.9837,0.9792,0.0,0.0295
OSS 20b,HS-ESS3,recall,96,0.9688,0.9121,0.9893,,0.0,0.0255
OSS 20b,HS-ETS1,applied,102,0.9706,0.9171,0.9899,0.9853,0.0,0.0
OSS 20b,HS-ETS1,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
OSS 20b,HS-ETS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
OSS 20b,HS-LS1,applied,99,0.9596,0.9007,0.9842,0.9646,0.0,0.0143
OSS 20b,HS-LS1,conceptual,99,0.9798,0.9293,0.9944,0.9798,0.0,0.0143
OSS 20b,HS-LS1,recall,96,0.9583,0.8977,0.9837,,0.0,0.0295
OSS 20b,HS-LS2,applied,84,0.9762,0.9173,0.9934,0.9821,0.0,0.0168
OSS 20b,HS-LS2,conceptual,87,0.8966,0.815,0.9446,0.9425,0.0,0.0282
OSS 20b,HS-LS2,recall,93,1.0,0.9603,1.0,,0.0,0.0
OSS 20b,HS-LS3,applied,93,0.9785,0.9249,0.9941,0.9839,0.0,0.0152
OSS 20b,HS-LS3,conceptual,93,0.957,0.8946,0.9831,0.9785,0.0,0.0152
OSS 20b,HS-LS3,recall,96,0.9479,0.8838,0.9776,,0.0,0.039
OSS 20b,HS-LS4,applied,96,0.9271,0.8571,0.9642,0.9427,0.0,0.0147
OSS 20b,HS-LS4,conceptual,96,0.9583,0.8977,0.9837,0.9792,0.0,0.0295
OSS 20b,HS-LS4,recall,93,0.8602,0.7754,0.9165,,0.0,0.0304
OSS 20b,HS-PS1,applied,99,0.9798,0.9293,0.9944,0.9747,0.0,0.0143
OSS 20b,HS-PS1,conceptual,99,0.9495,0.8872,0.9782,0.9697,0.0,0.0143
OSS 20b,HS-PS1,recall,99,0.9091,0.8362,0.9514,,0.0,0.0247
OSS 20b,HS-PS2,applied,102,0.9804,0.9313,0.9946,0.9902,0.0,0.0277
OSS 20b,HS-PS2,conceptual,99,0.9899,0.945,0.9982,0.9899,0.0,0.0143
OSS 20b,HS-PS2,recall,96,0.9688,0.9121,0.9893,,0.0,0.0255
OSS 20b,HS-PS3,applied,96,0.9688,0.9121,0.9893,0.9792,0.0,0.0
OSS 20b,HS-PS3,conceptual,90,0.9333,0.8621,0.9691,0.9667,0.0,0.0
OSS 20b,HS-PS3,recall,93,0.9785,0.9249,0.9941,,0.0,0.0304
OSS 20b,HS-PS4,applied,102,0.9902,0.9465,0.9983,0.9951,0.0,0.0139
OSS 20b,HS-PS4,conceptual,96,0.9792,0.9272,0.9943,0.9844,0.0,0.0147
OSS 20b,HS-PS4,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
