model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 4 31b,HS-LS3,conceptual,93,1.0,0.9603,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
Gemma 4 31b,HS-LS4,applied,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 4 31b,HS-LS4,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4,recall,93,1.0,0.9603,1.0,,0.0,0.0
Gemma 4 31b,HS-PS1,applied,99,1.0,0.9626,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-PS1,conceptual,99,1.0,0.9626,1.0,0.9949,0.0,0.0
Gemma 4 31b,HS-PS1,recall,99,0.9495,0.8872,0.9782,,0.0,0.0143
Gemma 4 31b,HS-PS2,applied,102,0.9902,0.9465,0.9983,0.9951,0.0,0.0139
Gemma 4 31b,HS-PS2,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
Gemma 4 31b,HS-PS2,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
Gemma 4 31b,HS-PS3,applied,96,0.9688,0.9121,0.9893,0.9792,0.0,0.0255
Gemma 4 31b,HS-PS3,conceptual,90,0.9444,0.8765,0.976,0.9722,0.0,0.0157
Gemma 4 31b,HS-PS3,recall,93,1.0,0.9603,1.0,,0.0,0.0
Gemma 4 31b,HS-PS4,applied,102,1.0,0.9637,1.0,0.9951,0.0,0.0
Gemma 4 31b,HS-PS4,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 4 31b,HS-PS4,recall,96,1.0,0.9615,1.0,,0.0,0.0
Granite 3.3 Instruct,HS-ESS1,applied,96,0.6458,0.5462,0.7342,0.7292,0.0,0.039
Granite 3.3 Instruct,HS-ESS1,conceptual,96,0.625,0.5251,0.7153,0.7812,0.0,0.0255
Granite 3.3 Instruct,HS-ESS1,recall,93,0.828,0.7387,0.8912,,0.0,0.0663
Granite 3.3 Instruct,HS-ESS2,applied,96,0.7708,0.6773,0.8435,0.8698,0.0,0.0531
Granite 3.3 Instruct,HS-ESS2,conceptual,99,0.6869,0.59,0.7698,0.8283,0.0,0.0286
