model,area,question_type,mean_fk_grade,mean_reading_ease,n,dist_from_band
Granite 3.3 Instruct,HS-ESS3,applied,13.59,33.58,102,0.0
Granite 3.3 Instruct,HS-ESS3,conceptual,12.97,35.96,96,0.0
Granite 3.3 Instruct,HS-ESS3,recall,13.56,33.51,96,0.0
Granite 3.3 Instruct,HS-ETS1,applied,14.53,27.13,102,0.53
Granite 3.3 Instruct,HS-ETS1,conceptual,14.87,22.05,96,0.87
Granite 3.3 Instruct,HS-ETS1,recall,14.07,30.13,93,0.07
Granite 3.3 Instruct,HS-LS1,applied,12.99,38.46,99,0.0
Granite 3.3 Instruct,HS-LS1,conceptual,12.88,38.9,99,0.0
Granite 3.3 Instruct,HS-LS1,recall,12.18,42.3,96,0.0
Granite 3.3 Instruct,HS-LS2,applied,12.27,41.51,84,0.0
Granite 3.3 Instruct,HS-LS2,conceptual,12.99,36.18,87,0.0
Granite 3.3 Instruct,HS-LS2,recall,14.01,31.32,93,0.01
Granite 3.3 Instruct,HS-LS3,applied,12.74,41.22,93,0.0
Granite 3.3 Instruct,HS-LS3,conceptual,12.3,42.43,93,0.0
Granite 3.3 Instruct,HS-LS3,recall,12.63,39.47,96,0.0
Granite 3.3 Instruct,HS-LS4,applied,13.43,37.23,96,0.0
Granite 3.3 Instruct,HS-LS4,conceptual,13.62,32.42,96,0.0
Granite 3.3 Instruct,HS-LS4,recall,14.3,29.15,93,0.3
Granite 3.3 Instruct,HS-PS1,applied,12.44,43.85,99,0.0
Granite 3.3 Instruct,HS-PS1,conceptual,13.15,38.9,99,0.0
Granite 3.3 Instruct,HS-PS1,recall,12.7,40.73,99,0.0
Granite 3.3 Instruct,HS-PS2,applied,11.83,52.92,102,0.0
Granite 3.3 Instruct,HS-PS2,conceptual,11.82,49.11,99,0.0
Granite 3.3 Instruct,HS-PS2,recall,11.9,48.61,96,0.0
Granite 3.3 Instruct,HS-PS3,applied,11.8,49.57,96,0.0
Granite 3.3 Instruct,HS-PS3,conceptual,12.14,44.81,90,0.0
Granite 3.3 Instruct,HS-PS3,recall,12.43,43.16,93,0.0
Granite 3.3 Instruct,HS-PS4,applied,11.92,47.81,102,0.0
Granite 3.3 Instruct,HS-PS4,conceptual,12.27,44.08,96,0.0
Granite 3.3 Instruct,HS-PS4,recall,12.33,42.71,96,0.0
Llama 3.1 8b,HS-ESS1,applied,10.58,55.44,96,0.0
Llama 3.1 8b,HS-ESS1,conceptual,10.92,51.31,96,0.0
Llama 3.1 8b,HS-ESS1,recall,11.44,47.27,93,0.0
Llama 3.1 8b,HS-ESS2,applied,11.03,50.3,96,0.0
Llama 3.1 8b,HS-ESS2,conceptual,11.17,48.08,99,0.0
Llama 3.1 8b,HS-ESS2,recall,11.7,45.34,93,0.0
Llama 3.1 8b,HS-ESS3,applied,12.8,39.2,102,0.0
Llama 3.1 8b,HS-ESS3,conceptual,12.22,41.14,96,0.0
Llama 3.1 8b,HS-ESS3,recall,13.03,37.47,96,0.0
Llama 3.1 8b,HS-ETS1,applied,13.75,32.98,102,0.0
Llama 3.1 8b,HS-ETS1,conceptual,14.06,26.66,96,0.06
Llama 3.1 8b,HS-ETS1,recall,12.57,36.35,93,0.0
Llama 3.1 8b,HS-LS1,applied,11.74,45.79,99,0.0
Llama 3.1 8b,HS-LS1,conceptual,12.01,43.12,99,0.0
Llama 3.1 8b,HS-LS1,recall,11.68,45.75,96,0.0
Llama 3.1 8b,HS-LS2,applied,11.21,48.49,84,0.0
Llama 3.1 8b,HS-LS2,conceptual,12.34,40.28,87,0.0
Llama 3.1 8b,HS-LS2,recall,13.8,33.81,93,0.0
Llama 3.1 8b,HS-LS3,applied,11.26,48.91,93,0.0
Llama 3.1 8b,HS-LS3,conceptual,11.41,48.24,93,0.0
Llama 3.1 8b,HS-LS3,recall,11.62,45.71,96,0.0
Llama 3.1 8b,HS-LS4,applied,11.99,44.9,96,0.0
Llama 3.1 8b,HS-LS4,conceptual,12.24,42.31,96,0.0
Llama 3.1 8b,HS-LS4,recall,12.99,38.03,93,0.0
Llama 3.1 8b,HS-PS1,applied,12.16,46.57,99,0.0
Llama 3.1 8b,HS-PS1,conceptual,11.71,46.49,99,0.0
Llama 3.1 8b,HS-PS1,recall,12.1,45.86,99,0.0
Llama 3.1 8b,HS-PS2,applied,10.24,61.13,102,0.0
Llama 3.1 8b,HS-PS2,conceptual,10.7,55.36,99,0.0
Llama 3.1 8b,HS-PS2,recall,12.31,48.86,96,0.0
Llama 3.1 8b,HS-PS3,applied,10.88,53.45,96,0.0
Llama 3.1 8b,HS-PS3,conceptual,11.23,49.62,90,0.0
Llama 3.1 8b,HS-PS3,recall,11.95,45.57,93,0.0
Llama 3.1 8b,HS-PS4,applied,11.3,53.75,102,0.0
Llama 3.1 8b,HS-PS4,conceptual,11.12,51.56,96,0.0
Llama 3.1 8b,HS-PS4,recall,11.72,47.54,96,0.0
Llama 3.3 70b,HS-ESS1,applied,11.23,53.87,96,0.0
Llama 3.3 70b,HS-ESS1,conceptual,11.44,50.53,96,0.0
Llama 3.3 70b,HS-ESS1,recall,12.37,44.58,93,0.0
Llama 3.3 70b,HS-ESS2,applied,11.79,47.82,96,0.0
Llama 3.3 70b,HS-ESS2,conceptual,12.17,45.02,99,0.0
Llama 3.3 70b,HS-ESS2,recall,12.26,44.8,93,0.0
Llama 3.3 70b,HS-ESS3,applied,13.16,38.17,102,0.0
Llama 3.3 70b,HS-ESS3,conceptual,13.2,38.28,96,0.0
Llama 3.3 70b,HS-ESS3,recall,14.71,30.46,96,0.71
Llama 3.3 70b,HS-ETS1,applied,15.01,28.44,102,1.01
Llama 3.3 70b,HS-ETS1,conceptual,15.33,23.19,96,1.33
Llama 3.3 70b,HS-ETS1,recall,15.73,25.18,93,1.73
Llama 3.3 70b,HS-LS1,applied,12.86,42.39,99,0.0
Llama 3.3 70b,HS-LS1,conceptual,13.01,40.13,99,0.0
Llama 3.3 70b,HS-LS1,recall,12.81,42.58,96,0.0
Llama 3.3 70b,HS-LS2,applied,12.19,43.77,84,0.0
Llama 3.3 70b,HS-LS2,conceptual,13.21,37.75,87,0.0
Llama 3.3 70b,HS-LS2,recall,15.18,28.12,93,1.18
Llama 3.3 70b,HS-LS3,applied,12.33,43.96,93,0.0
Llama 3.3 70b,HS-LS3,conceptual,12.0,46.27,93,0.0
Llama 3.3 70b,HS-LS3,recall,12.81,41.13,96,0.0
Llama 3.3 70b,HS-LS4,applied,13.27,41.79,96,0.0
Llama 3.3 70b,HS-LS4,conceptual,13.73,37.03,96,0.0
Llama 3.3 70b,HS-LS4,recall,14.75,31.42,93,0.75
Llama 3.3 70b,HS-PS1,applied,12.11,46.6,99,0.0
Llama 3.3 70b,HS-PS1,conceptual,12.66,42.81,99,0.0
Llama 3.3 70b,HS-PS1,recall,12.55,42.34,99,0.0
Llama 3.3 70b,HS-PS2,applied,9.78,61.77,102,0.0
Llama 3.3 70b,HS-PS2,conceptual,11.08,53.45,99,0.0
Llama 3.3 70b,HS-PS2,recall,12.66,47.05,96,0.0
Llama 3.3 70b,HS-PS3,applied,11.49,51.1,96,0.0
Llama 3.3 70b,HS-PS3,conceptual,12.44,44.56,90,0.0
Llama 3.3 70b,HS-PS3,recall,13.06,40.74,93,0.0
Llama 3.3 70b,HS-PS4,applied,10.61,55.7,102,0.0
Llama 3.3 70b,HS-PS4,conceptual,11.81,48.38,96,0.0
Llama 3.3 70b,HS-PS4,recall,13.02,41.22,96,0.0
Mistral Small 3.1,HS-ESS1,applied,11.19,52.45,96,0.0
Mistral Small 3.1,HS-ESS1,conceptual,10.52,52.2,96,0.0
