model,n,input_mean,input_sd,output_mean,output_sd,reasoning_mean,reasoning_sd,total_mean,total_sd,total_sum,reasoning_available_frac
Gemma 3 27b,3450,114.3,12.6,259.8,71.5,0.0,0.0,374.1,72.6,1290500,0.0
Gemma 4 31b,3450,123.3,12.6,369.0,92.7,0.0,0.0,492.3,90.3,1698504,0.0
Granite 3.3 Instruct,3450,129.1,15.0,306.2,115.8,0.0,0.0,435.3,119.5,1501875,0.0
Llama 3.1 8b,3450,136.5,12.3,289.8,87.5,0.0,0.0,426.3,89.4,1470617,0.0
Llama 3.3 70b,3450,136.5,12.3,229.0,73.4,0.0,0.0,365.5,74.8,1260880,0.0
Mistral Small 3.1,3450,109.6,12.7,301.5,87.8,0.0,0.0,411.1,89.8,1418274,0.0
Nemotron 3 Nano 30ba3,3450,120.6,12.7,418.4,201.2,0.0,0.0,539.0,203.2,1859602,0.0
OSS 120b,3450,171.3,12.2,724.4,291.6,0.0,0.0,895.7,291.2,3090157,0.0
OSS 20b,3450,171.3,12.2,552.4,257.5,0.0,0.0,723.6,259.1,2496530,0.0
