model,area,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.3 70b,HS-PS1,297,0.9529,0.9224,0.9717,0.9722,0.0,0.0095
Llama 3.3 70b,HS-PS2,297,0.9663,0.9391,0.9816,0.9776,0.0,0.0048
Llama 3.3 70b,HS-PS3,279,0.9283,0.8919,0.9531,0.9435,0.0,0.0134
Llama 3.3 70b,HS-PS4,294,0.9694,0.9429,0.9838,0.9747,0.0,0.0083
Mistral Small 3.1,HS-ESS1,285,0.8702,0.8262,0.9043,0.888,0.0,0.0325
Mistral Small 3.1,HS-ESS2,288,0.8785,0.8357,0.9113,0.9103,0.0,0.0196
Mistral Small 3.1,HS-ESS3,294,0.9558,0.9258,0.974,0.9621,0.0,0.0127
Mistral Small 3.1,HS-ETS1,291,0.9519,0.9209,0.9711,0.9621,0.0,0.0097
Mistral Small 3.1,HS-LS1,294,0.9014,0.8619,0.9304,0.9318,0.0,0.0048
Mistral Small 3.1,HS-LS2,264,0.9053,0.8639,0.935,0.9444,0.0,0.0386
Mistral Small 3.1,HS-LS3,282,0.9326,0.8972,0.9564,0.9435,0.0,0.0133
Mistral Small 3.1,HS-LS4,285,0.9123,0.8737,0.9399,0.9557,0.0,0.0216
Mistral Small 3.1,HS-PS1,297,0.9125,0.8748,0.9396,0.952,0.0,0.0095
Mistral Small 3.1,HS-PS2,297,0.9461,0.9143,0.9666,0.9776,0.0,0.0172
Mistral Small 3.1,HS-PS3,279,0.8853,0.8426,0.9176,0.914,0.0,0.0268
Mistral Small 3.1,HS-PS4,294,0.932,0.8973,0.9555,0.947,0.0,0.021
Nemotron 3 Nano 30ba3,HS-ESS1,285,0.9404,0.9066,0.9624,0.9635,0.0,0.0099
Nemotron 3 Nano 30ba3,HS-ESS2,288,0.9583,0.9286,0.976,0.9795,0.0,0.0085
Nemotron 3 Nano 30ba3,HS-ESS3,294,0.983,0.9608,0.9927,0.9848,0.0,0.0096
Nemotron 3 Nano 30ba3,HS-ETS1,291,0.9828,0.9604,0.9926,0.9874,0.0,0.0049
Nemotron 3 Nano 30ba3,HS-LS1,294,0.9558,0.9258,0.974,0.9747,0.0,0.0048
Nemotron 3 Nano 30ba3,HS-LS2,264,0.9735,0.9463,0.9871,0.9795,0.0,0.0054
