rank,model,macro_accuracy,micro_accuracy,rubric_macro,refusal_rate,n_items,mean_response_fk_grade,mean_total_tokens,mean_reasoning_tokens
1,OSS 120b,0.9865,0.9864,0.9887,0.0,3450,11.28,895.7,0.0
2,Gemma 4 31b,0.9844,0.9843,0.9904,0.0,3450,11.41,492.3,0.0
3,Nemotron 3 Nano 30ba3,0.9675,0.9675,0.9811,0.0,3450,12.12,539.0,0.0
4,Gemma 3 27b,0.9587,0.9588,0.9693,0.0,3450,11.62,374.1,0.0
5,OSS 20b,0.957,0.9571,0.9713,0.0,3450,11.07,723.6,0.0
6,Llama 3.3 70b,0.9349,0.9354,0.952,0.0,3450,12.76,365.5,0.0
7,Mistral Small 3.1,0.9153,0.9157,0.9407,0.0,3450,11.66,411.1,0.0
8,Granite 3.3 Instruct,0.8215,0.8214,0.8678,0.0,3450,12.71,435.3,0.0
9,Llama 3.1 8b,0.7783,0.7783,0.8357,0.0,3450,11.86,426.3,0.0
